Rótulos de Linha;Soma de Votos nominais
ACIR MARCOS GURGACZ;63300
AFRÂNIO TADEU BOPPRÉ;116189
AIRTON COSTA SANTOS;1333
ALAN RICK MIRANDA;154312
ALBETIZA MOREIRA DE ARAÚJO;1730
ALESSANDRO LUCCIOLA MOLON;1731786
ALEXANDRE BALDY DE SANT ANNA BRAGA;406379
ALEXANDRE SILVEIRA DE OLIVEIRA;3679392
ALEXANDRE SOARES DE MELO;10289
ALFREDO ALEXANDRE DE MENEZES JUNIOR;737875
ALINE SLEUTJES;89560
ALTAMIRO ALVES DA SILVA;47018
ALVARO FERNANDES DIAS;1396089
ANA AMÉLIA DE LEMOS;966450
ANDRÉ CARLOS ALVES DE PAULA FILHO;567367
ANDRÉ LUIZ CECILIANO;986676
ANDRE RIBEIRO BARBOSA;19903
ANDREA BRANCO SCHMIDT;5745
ANIZIO LEITE TOCCHIO JUNIOR;2101
ANTONIO BUNGENSTAB DE LIMA;2534
ANTÔNIO CARLOS SILVA;13280
ANTONIO CARLOS VALADARES FILHO;267756
ANTONIO GALVAN;337003
ANTONIO HAMILTON MARTINS MOURÃO;2593294
ANTONIO HERMANO LEMME;1198
ANTONIO JOSÉ FONTINELE DA SILVA;8949
ARTHUR VIRGILIO DO CARMO RIBEIRO NETO;179886
ATAIDES DE OLIVEIRA;69420
BÁRBARA DEL PENHO SINEDINO PINHEIRO;18222
BARTOLOMEU DA SILVA TOMAZ;11171
BENEVENUTO DACIOLO FONSECA DOS SANTOS;285037
BRUNO FIGUEIREDO ROBERTO;231968
BRUNO MARTUCHELE DE SALES;105650
CAMILO SOBREIRA DE SANTANA;3389513
CARLOS ANTONIO GOMES DE ANDRADE LIMA;258289
CARLOS DIVINO VIEIRA RODRIGUES;9366
CARLOS EDUARDO NUNES ALVES;565235
CARLOS EDUARDO SABOIA GOMES;2521
CARLOS ENRIQUE FRANCO AMASTHA;100649
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO;1826218
CELSO MALDANER;304799
CLARIKENNEDY NUNES;443425
CLARISSA GAROTINHO BARROS ASSED MATHEUS DE OLIVEIRA;1145413
CLAUDEMIR LOPES;20704
CLEITON GONTIJO DE AZEVEDO;4268193
CLEUSA ROSANE RIBAS FERREIRA;475597
DAMARES REGINA ALVES;714562
DANIELLE GARCIA ALVES;206135
DÁRIO BARBOSA DE MELO;3072
DARIO ELIAS BERGER;605258
DAVID CABRAL DAVINO FILHO;627397
DAVID SAMUEL ALCOLUMBRE TOBELEM;196087
DAYSE JOYCE RODRIGUES DE MEDEIROS;12844
DENISE APARECIDA CARVALHO;299013
DIMAS DA SILVA SANDAS;413
DIRLAINE JAQUELINE CASSOL;104020
EDSON APARECIDO DOS SANTOS;1655224
EDUARDO ALVES DO AMORIM;246398
EFRAIM DE ARAÚJO MORAIS FILHO;617477
ELCIMARA AUGUSTO DE SOUZA;2473
ELIELTON REGO LIRA;21278
ELISSANDRO AMORIM BESSA;17339
ENEIDA DESIREE SALGADO;130520
ERICK CABRAL MUSSO;337642
ERIKA GONÇALVES AMORIM;193243
ESTEVES JACINTO BRAZ;15701
EXPEDITO CARNEIRO DE MENDONÇA;613
EXPEDITO GONÇALVES FERREIRA JUNIOR;83946
FABIANA DA SILVA SANGUINÉ;9353
FELICIANO LHANOS AZUAGA;33167
FERNANDO DE SOUZA FLEXA RIBEIRO;307481
FILIPE SIQUEIRA FERMINO;5621
FLÁVIA CAROLINA PÉRES;429676
FLÁVIO DINO DE CASTRO E COSTA;2125811
FRANCISCO RAIMUNDO DE FREITAS;6661
GEORGE MÁGNO CARVALHO CARDOSO;7895
GERALDO SOUZA PINHO ALVES;10000
GIDEON WINDSOR BUSH MIRANDA DA SILVA;11728
GILBERTO BATISTA CAMPOS;20138
GILBERTO LAURINDO;2033
GILMAR SALGADO DOS SANTOS;2657
GILSON MACHADO GUIMARÃES NETO;1320555
GUARACY BATISTA DA SILVEIRA JUNIOR;9177
GUILHERME CRUZ DE SOUZA COELHO;187364
HÉLIO JOSÉ DA SILVA LIMA;2069
HEMANUELLE DI LARA SIQUEIRA JACOB;51743
HENRI CLAY SANTOS ANDRADE;52741
HERALDO EDER GOES;1600
HILDA CAROLINA DEOLA;66496
HIRAN MANUEL GONÇALVES DA SILVA;118760
HIRAN ROEDEL;5120
IDALECIO CARONE FILHO;3357
ILDERSON PEREIRA SILVA;5542
IRAN DE OLIVEIRA MARINHO;2822
IVO NOGUEIRA;24875
JAIME MAXIMINO BAGATTOLI;293488
JANAINA CONCEIÇÃO PASCHOAL;447550
JANILSON LOPES LEITE;65522
JARDEL LUIS CASTRO GUIMARÃES;85099
JEFERSON JOSE BEZERRA;1000
JOAO ALBERTO RODRIGUES CAPIBERIBE;21979
JOÃO CAMPOS DE ARAÚJO;350222
JOÃO CARLOS DA SILVA SANTIAGO;13452
JOÃO GERVÁSIO DOS SANTOS NETO;1265
JOÃO HELDER VILELA;44203
JOÃO RAIMUNDO COLOMBO;608213
JOE CARLO VIANA VALLE;49310
JOEL RODRIGUES DA SILVA;892010
JORGE SEIF JUNIOR;1484110
JORGE YOSHIAKI YANAI;27937
JOSÉ ALDO REBELO FIGUEIREDO;230833
JOSE GABRIEL DE SOUZA JUNIOR;4795
JOSÉ RENAN VASCONCELOS CALHEIROS FILHO;845988
JOSÉ ROBERTO DE FREITAS CAVALCANTE;22491
JOSÉ ROBERTO OLIVEIRA FARO;1781582
JOSÉ SILVESTRE DE MOURA;4024
JOSE WELLINGTON BARROSO DE ARAUJO DIAS;962194
JOZINELIO MUNIZ DE OLIVEIRA;7617
JOZINEY ALVES AMORIM;73567
JULIO CESAR LUGATO;7978
KAMILA CARDOSO DE SOUZA RIBEIRO;1273272
KÁSSIO EDUARDO DA SILVA COELHO;52940
KATIA REGINA DE ABREU GOMES;145104
LAERCIO JOSE DE OLIVEIRA;310300
LAERSON VIDAL MATIAS;17953
LAZARA MERLEY DE CASTRO TEIXEIRA;588
LEONARDO CAIRO RIZZO;35998
LUIZ BARBOZA NETO;99107
LUIZ CARLOS PRATES;14598
LUIZ CASTRO ANDRADE NETO;131116
LUIZ HENRIQUE MANDETTA;206093
MAGNO PEREIRA MALTA;821189
MANOEL CARLOS ANTUNES;390959
MARCELO ABRUNHOSA HIPÓLITO;1841
MARCELO BEZERRA GUERREIRO;590
MARCELO CLAUDIO GOMES;757
MARCELO GUILHERME DE ARO FERREIRA;2025573
MARCELO SIQUEIRA BARRETO;12318
MARCELO ZATURANSKY NOGUEIRA ITAGIBA;18224
MARCIA ESPINOSA BITTAR;41159
MARCIO ANTONIO SABBÁ CORRÊA;36055
MÁRCIO LUIZ FRANÇA GOMES;7822518
MARCO ANTONIO AZKOUL;19337
MARCO ANTONIO SOUZA RIBEIRO DA COSTA;10200
MARCONI FERREIRA PERILLO JUNIOR;626662
MARCOS ANTONIO RIBEIRO;3535
MARCOS CESAR PONTES;10714913
MARIA ANTONIA TEIXEIRA DIAS;34294
MARIA AUXILIADORA SEABRA REZENDE;395408
MARIA DE NAZARETH MELLO DE ARAUJO LAMBERT;39555
MARIA DIRLENE TRINDADE MARQUES;37317
MARIA EUGENIA WANDERLEY LIMA;45358
MARIA LUCIA SOARES VIANA;1622
MARIA TERESA LEITÃO DE MELO;2061276
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;263559
MARILIA FREIRE DA SILVA;28557
MARINALDO DE SOUSA SILVA;174
MARIO AGRA JÚNIOR;12768
MARIO COUTO FILHO;1485453
MARISTELA ZANOTTO;17292
MAURÍCIO COSTA DA SILVA;1052
NAOMI DE ALMEIDA GOMES COURA;3229
NELSON PINTO FERREIRA NETO JUNIOR;11787
ODILON DE OLIVEIRA;146261
OLÍVIO DE OLIVEIRA DUTRA;2225458
OMAR JOSÉ ABDEL AZIZ;784007
ORLANDO PESSUTI;63784
OTTO ROBERTO MENDONCA DE ALENCAR;4218333
OZEAS COSTA COLARES JUNIOR;5393
PAULO EDUARDO LIMA MARTINS;1697962
PAULO GUILHERME SANTOS CASTELO BRANCO;1278
PAULO ROBERTO DA ROSA;2077
PEDRO IVO DE SOUZA BATISTA;8133
PETER JUNIOR MIRANDA;3790
RAFAEL HUETE DA MOTTA;385275
RAISSA OLIVEIRA AZEVEDO DE MELO SOARES;1057085
RAUL BITTENCOURT PEDREIRA;7299
RAYSSA CADENA FURLAN;174128
RENATA ABREU DO NASCIMENTO FONSECA;52996
RICARDO LUIS MELLÃO;311321
RICARDO VIEIRA COUTINHO;431857
ROBERTA RITA CAVALCANTI PEREIRA;666
ROBERTO COELHO ROCHA;1211174
ROBERTO FRANÇA DA SILVA JUNIOR;3402
ROGÉRIO SIMONETTI MARINHO;708351
ROMÁRIO DE SOUZA FARIA;2384331
ROMERO JUCÁ FILHO;91431
RONALDO TEIXEIRA DA SILVA;33923
ROSANGELA LÁZARO DE OLIVEIRA;3788
ROSILDA DE FREITAS;747104
ROSILENE CORRÊA LIMA;356198
SANDERSON SILVA DE MOURA;2763
SANDRA FIGUEIREDO;31613
SARA RAYANNE SILVA AZEVEDO;113304
SAULO COSTA ARCANGELI;10206
SERGIO AUGUSTO DE QUEIROZ;233849
SERGIO FERNANDO MORO;1953188
SHIRLEI BARROS DE MEDEIROS;5766
SUED HAIDAR NOGUEIRA;11933
SUELI PEREIRA PINI;4961
TAMARA AZEVEDO CARDOSO;119307
TELMARIO MOTA DE OLIVEIRA;19609
TEREZA CRISTINA CORREA DA COSTA DIAS;829149
TIAGO RESENDE BOTELHO;178041
TITO FLAVIO BELLINI NOGUEIRA DE OLIVEIRA;59449
VALDENOR GUEDES SOARES;971
VANDA DENIR MILANI NOGUEIRA;34658
VILMAR DA SILVA ROCHA;55934
VIVIAN MENDES DA SILVA;280460
WALDIR SOARES DE OLIVEIRA;539219
WELLINGTON ANTÔNIO FAGUNDES;825229
WILDER PEDRO DE MORAIS;799022
YASNAIA POLLYANNA WERTON DUTRA;457679
Total Geral;100115025
